english	manx_translations
Abban's Church	Keeill Abban
Abbot's Division	Rheynn Abb
Abbot's Water	Ushtey ny Abbagh
abdominal belt	cryss volgagh
abominable idolatries	jalloonys dwoaiagh
Abominable Snowman	fer sniaghtee feohdagh
aborted ewe	deayrtnagh
abounding in chickweed	fleeagh
abounding in docks	cabbagagh
abounding in oysters	ooastyragh
abounding in sharp docks	shughlaigagh
absent-minded person	meehastagh; shagh-smooinaghtagh
absolutely valueless	feeu veg
absolute minimum	earroo sloo
absolute zero	jarroo-neunhee
abusive person	caartragh
academic achievements	cooilleenaghyn-ynsee
accelerated learning	ynsagh siyrit
accommodation ladder	aarey yerree
accordion pleats	myn-filley
acorn barnacles	carran
acorn cup	cappan ferrish
Acorn Farm	Balley ny Gro
acorn moth	lhemeen darree
acoustic wall	boalley bouyr
act of vindication	glenney
addled egg	ooh guirragh
ad infinitum	dy bragh; gyn jerrey
ad interim	dy shallidagh; son y traa t'ayn
adipose tissue	sahll
adjutant bird	coar-Injinagh
admiralty court	quaiyl varrey
Admiralty Islands	Ellanyn ny h-Ardmarraght
adult plus	fer aasit as tooilley; aasit as tooilley
Adult workshops	Keirdlannyn son Sleih-aasit
ad valorem	reir yn leagh
adverse weather	drogh earish
adverse wind	geay ching
Advisers' Secretary	Scrudeyr ny Coyrlee
aerated water	ushtey aeragh
aerial photograph	caslys speyragh
aerial torpedo	torpaid aer
aeroplane simulator	far-etlan
affected with glampus	caddymagh
affiliated society	sheshaght chochianglt
African dwarf frog	rannag veg Affrickagh
African veld	Magher ny h-Africk
aft of the mast	cooyl y chroan; sheear jeh'n chroan
agent provocateur	brasneyder
Age of Romance	Lhing ny reejerys
agglutinative language	hengey ghleiynagh
Agnus Dei	Eayn Yee
agoraphobic tendencies	beoynyn aggle straiddey
agricultural output	coyrt-magh eirinagh
Agri-environment Scheme	Skeim y; hymmyltaght Eirinagh
aiding and abetting	cooney as greesaghey
air armada	aer-armada
air corridor	corradoyr aer
aired with heat	cheerit
airmail writing paper	pabyr-screeuee thanney
air marshal	aervarshyl
air pump	chionneyder-aer
air-traffic control	reiltys gleashaght aer; stiurey traaght-er
air-traffic control services	shirveishyn stiurey traaght-er
airway beacon	soilshey aerlinney
aitch bone	craue curpey; curp
alarm gong	clag gaue; clag raauee
Alaskan Gulf	Lhoob Alaska
Albany Lane	Lhoan Nalbin
Albany Road	Raad Nalbin
albino rabbit	conning albeenagh
albino woman	ben albeenagh
alder buckthorn	farney doo
Alderley Close	Close Alderley
ale mug	pynt jough
Aleutian tern	sternag Aleutiagh
Aleyn's Mountain	Slieau Aleyn
alfa grass	alfey; faiyr alfey
Alfgeirr's Farm	Alkest
Alice's Croft	Croit Ealee
Alice's Shrubbery	Garree Ealee
alighting stool	tarlheiman
alive with vermin	er croo
alkali metal	meain alkalaih
alkaline earth metal	meain chray-alkalaihagh
Allan's Glen	Glion Challan
Allan Street	Straid Allan
allegations of corruption	lhiassaghyn jeh molteyrys
Allen's Farm	Balley Allen; Allen
s gallinule	kiark ushtey Allen
Allen's Gap	Doarlish Allen
Allen Street	Straid Allen
All Hallow's Day	Laa ny Nooghyn Ooilley; Laa Souney
All Hallow's Eve	Oie Houney
alligation method	saase driaghtagh
alligator pear	peear doo
all in a flurry	ooilley fud-y-cheilley
all-in policy	yl-pholasee
all in tangles	ooilley ayns cassaghyn
all-in wrestling	yl-ghleckey
allis shad	goayr varrey
all-mains set	gleaysh yl-linney
all our yesterdays	yn traa t'er n'gholl shaghey voin
Allow's Big Hill	Knock Aloe Mooar
Allow's Croft	Croit Allow
Allow's Little Hill	Knock Aloe Beg
All Saint's Day	Laa ny Nooghyn Ooilley; Laa'l Mooar ny Nooghyn
all-time record	recortys derrey nish
almond-shaped eyes	sooillyn keyley
alms basin	meilley yeirk
Alpine barrenwort	bossan gennish
Alpine clubmoss	garvag Alpag; keynnagh ny sleityn
Alpine Cottage	Thie Alpagh
Alpine hut	bwaane slieau
Alpine swift	gollan alpagh
altar chime	cluig erin
altar chimes	cluig erin
altar cushion	clooieshag altar
altar recess	cuilleig altaragh
alternate water-milfoil	snaih baih
alternate weeks	cor-shiaghteeyn
alternating current	streeu chirkinagh
alternating days	dagh cor-laa
alto clef	ogher alteragh
ambulance man	fer carr lheihys; fer kied chouyr
amending act	slattys lhiasee
American kestrel	stannair ruy Americaanagh
American purple gallinule	kiark ushtey ghorrym Americaanagh
ammunition wagon	waggan tashtee
amoebic dysentery	vuinnaght vooar
amour propre	leggad
amusement arcade	boayl gammanyn
anaesthetize generally	cur cadlaghan da; cur ny cadley
Anagh Coar Close	Close Anagh Coar
Anagh Coar Road	Raad Anagh Coar
analytical form	cummey oltscarree
analytic language	hengey scarreydagh
anatomical atlas	caslys ronsagh kirpey
ancient murrelet	stronnag scoarnagh-ghoo
Andalusian fowl	kiark Spaainagh
Andrew's Hill	Cronk Andreas
Andrew's Marsh	Curragh Andrew
Andrew's Meadow	Lheannee Andra
angelus bell	clag yn ainle
angle of incidence	cuinney huittym; uillin huittym
Anglican Church	Agglish Hostyn
angular diameter	crantessen uillinagh
angular frequency	menkid uillinagh
angular velocity	bieauid uillinagh
animal husbandry	reeydys beiyn
ankle sock	oashyr abaneagh
Annacur Lane	Lhoan Anagh Coar
Annie's Glen	Glion Annie
Ann's Croft	Croit Anny; Croit Ann
annual rate of inflation	raayt bleinoil jeh bolgey argid
annular eclipse	doorey fainoil
annunciator board	claare sansheragh
Anthony's fire	chenney Jee
antibiotic resistance	shassoo noi noi-vaagh
Antic Goat	Goayr Heddagh
antique shop	shapp shenndaght
anti-social behaviour	drogh ymmyrkey-bea
antisocial behaviour	aghtey noi-heshaghtagh; drogh ymmyrkey-bea
Anti-Terrorism and Crime Act	Slattys Lhiettal Tranlaase-Agglee as Kimmeeys
antler moth	lhemeen eairkagh
ant's nest	edd sniengan
Aodh's Hill	Kione Aodh
apocalyptic number	earroo yn veisht
apostle jug	podjal ny hostyllyn
Appledean Court	Close Lhag Ooylagh
apple turnover	filltane ooyll
apricot tree	billey apricoc
aquatic plants	lossreeyn ushtee
aquatic sports	spoyrtyn ushtee
aquatic warbler	kiaulleyder ushtey
aqua vitae	ushtey bio
arable land	thalloo banejagh
Ara's Well	Chibbyrt Aarey
Archdeacon's Close	Close yn Ard Jaghin
Arctic redpoll	kione-jiarg Arctagh
arctic tern	gant ny gibbinyn; sternag arctagh
ardent heat	chiass lajer
argentine thistle	onnane Albinagh; onnane vreck
Arick's Meadow	Lheannee Arick
armchair critic	cremeyder thie
armed guards	gardyn armit
army corps	core armee
aroma therapy	lheihys-soar
arrant nonsense	jiarg-voghtynid
arterial line	ard-raad yiarn
arterial road	bollagh mooar
artesian well	chibbyr arteeshagh
Arthur's Farm	Balley Adda
Arthur's Pasture	Pairk Arthur
Arthur's Rock	Creg Adha
Arthur's Tower	Toor Adha
articular process	cubblane juntagh
artificial insemination	laue-heeley
artificial respiration	aaghoostey ennal
asbestos board	claare asbestos
Ashberry Avenue	Astyl Berrishyn Keirn
Ashberry Cottages	Bwaaneyn Berrishyn Keirn
Ashbourne Avenue	Astyl Strooan Unjin
Ashbourne Grove	Keyll Strooan Unjin
ashen grey	neealloo
Ashley Hill	Cronk Ashley
Ashton's Fort	Dun Ashton
as if	myr dy row; Bible; myr yien
Asmundr's Garth	Amorgarry
Asmundr's Knoll	Asmundirtoft
aspirin tablets	asprynyn
assessing performance	meihaghey-cooilleenee
assignable date	dait enmysagh; dait yn-enmys
assimilating food	soo bee
Assistant Director of Prosecutions	Stiureyder Coonee Shualyn
assize court	quaiyl chimmee
associative law	leigh cocheaghlagh
associative properties	troyn cohymsagh
Asston's Church	Doonagh Asston
at full pelt	ec bieauid ny geayee
Atlas of the World's Languages in Danger	Atlas Chengaghyn y Theihll ayns Gaue
at me	aym
atomic capability	niartallys breneenagh
attar of roses	ooil roseyn
attested copy	coip jarrooit
at the roadside	ec cheu yn raad
attorney general's chambers	shamyryn y turneyr theayagh
Attribution Regime for Individuals	Ream-daill son Persoonyn
at us	ain
Auckland Grove	Keyll Auckland
