Cregeen’s proverbs and sayings
These Manx proverbs and sayings are assembled from Archibald Cregeen, A Dictionary of the
Manx Language…, Douglas: Quiggin, etc., 1835. The translations are mostly from the edition
revised by J. J. Kneen and others, published in 1910, reprinted by Yn Çheshaght Ghailckagh,
Ilkley: Moxon Press, 1984. I have revised the capitalization and punctuation, and added cedillas
(ç), but otherwise left the 1835 spelling unchanged.1 Nearly all of Cregeen’s proverbs and
sayings are collected, with some others, and translated, in G. W. Wood’s article mentioned in
footnote 2 below. The numbers in column 3 below correspond to the numbering in Wood’s
article. The symbol ~ means that the form of the proverb or saying in Wood is a little different
from that in Cregeen. Where the translations differ, those of Kneen et al. are generally superior,
though not always. Where Wood’s translations seem better, I have included them with the
initials GWW. A few translations are my own, indicated with MW.
Max W. Wheeler
Ramsey, January 2015
		Wood2
Caghlaa obbyr aash.	Change of work is rest.	162
Boayl nagh vel aggle cha vel grayse.	Where there’s no fear, there’s no grace.	72
Ta’n aghaue veg shuyr da’n aghaue vooar.	The little hemlock is a sister to the big hemlock, as much as to say, “A small evil or sin is sister to a great one.”	235
Cha row rieau cooid arrit mie.	Offered goods were never good.	~65a*
Ass shilley ass smooinaghtyn.	Out of sight, out of mind.	16
Ny jean balk jeh thalloo mie.	Don’t make a baulk out of good earth. MW	198
S’banglaneagh yn phy’agh.	Prolific is the person.	
Quoi erbee s’beayn cha beayn y ^henndiaght.	Whoever is immortal, ’tis not the aged.	50
S’beayn dagh olk.	Lasting is each evil.	82
Myr sloo yn çheshaght, smoo yn ayrn.	The smaller the company, the bigger the share.	113
Ta keeayll ommidjys, ny slooid ny t’ee ec dooinney creeney dy reayll.	Wit is foolishness, unless a wise man has it to keep.	109
Ta ynsagh coamrey stoamey yn dooinney berçhagh, as t’eh berçhys y dooinney boght.	Learning is the stately clothing of the rich man, and the riches of the poor man.	39
Lesh y vioys shegin jannoo.	You must make do with the life you have. MW	~164
Boght, boght dy bragh.	Poor, poor for ever.	146
S’booiagh yn voght er yn veggan.	The poor are contented with little.	149
1 A few necessary additions or corrections are included in [ ]. < > marks elements for deletion.
2 Wood, G. W., ‘On the classification of proverbs and sayings of the Isle of Man,’ Folk-Lore – A Quarterly
Review, 5 (1894), 237-274. I am very grateful to Christopher Lewin for pointing this publication out to me.
1
Ta fys ec dy chooilley ghooinney c’raad ta’n vraag gortagh eh.	Every man knows where the shoe hurts him.	38
Eshyn nagh gow rish briw erbee t’eh deyrey eh hene.	He who acknowledges no judge condemns himself.	175
Easht lesh dagh cleaysh, eisht jean briwnys.	Listen with each ear, then make judgment	8
Ta aile meeley jannoo bry millish.	A slow fire makes sweet malt.	61
Ta’n vry erskyn y churnaght.	The malt is above the wheat.	193
T’ad beaghey bwoailley er keyt as bwoilley er moddey.	They are living striking on a cat and striking on a dog, i.e. living a cat-and- dog life.	~208*
T’ou er y varney veayl.	Thou art on the bald gap.	
Cha vel eh laccal gerjagh ta goaill soylley jeh aigney booiagh.	He lacks not comfort who enjoys a contented mind.	86
Ayns brishey jeh’n eayst ta mee er vakin moghrey grou cur lesh fastyr aalin.	In the breaking of the moon, I have seen a gloomy morning bringing a fine evening.	191
Soddag chamm, bolg jeeragh.	Crooked bannock, straight belly.	14
Ta fuill ny s’çhee na ushtey.	Blood is thicker than water.	5
Bwoaill choud as ta’n yiarn çheh.	Strike while the iron is hot.	194
Brishys accyrys trooid boallaghyn cloaie.	Hunger will break through stone walls.	47
Cha jarg oo dty choayl y chreck.	You cannot sell your loss.	117
Mannagh vow cliaghtey cliaghtey, nee cliaghtey coe.	If custom be not indulged with custom, custom will weep.	56
Commee obbyr, commee bee.	Partner in work, partner in food.	33
Coontey ny heïn roish ta ny hoohyn guirt.	Counting the chickens before the eggs are hatched.	222
Cha dooar rieau drogh veaynee corran mie.	A bad reaper never got a good sickle.	199
T’ad craa nyn moyrn er y ch[ei]lley.	They are shaking their pride on each other.	100
Cre yiow jeh’n chayt agh y chrackan?	What will you get of the cat but the skin?	209
Faggys ta my lheiney, agh ny sniessey ta my chrackan.	Near is my shirt, but nearer is my skin.	1
Share cragh ve sy çheer, na mee ny mannan çheet stiagh meein.	Destruction in the country is better than the month of the kids (March) coming in fair.	158
Eshyn yiow skeilley, yiow eh craid.	He who receives harm shall receive mockery (be mocked).	95
Ta craplag smoo ayns dty hoyn nish na va ro’ee.	There is a bigger wrinkle in your breech than there was before.	2
Myr sniessey da’n chraue s’miljey yn eill.	The nearer the bone, the sweeter the flesh.	28
Ta cree dooie ny share na kione croutagh.	A kind heart is better than a crafty head.	7
2
Meeyl chreen: Dy beagh ee er e bolg myr t’ee er e dreeym, Shimmey mac dooinney yinnagh ee harrish y cheym.	[Ringworm:] if it were on its belly as it is on its back, many a son of man would it do over the stile.	45
Ta dooinney creeney mennick jannoo carrey jeh e noid.	A wise man often makes a friend of his enemy.	108
Myr smoo siyr smoo cumrail.	More haste, more hindrance. MW	105
Ta airh er cushagyn ayns shen.	There is gold on cushags there.	145
Myr s’doo yn feeagh, yiow eh sheshey.	As black as the raven is, he’ll find a mate.	134
Hig daill gys eeck.	Credit will come to payment.	118
Cha stamp rieau yn dow doo er e chass.	The black ox never trod on his foot.	210
Moyll y droghad myr heu harrish.	Praise the bridge as you go over it.	205
